,datetime,rse,site,cloud,tier_level,queue_efficiency,queue_occupancy,Difference,Unlocked,TOKYO-LCG2_DATADISK_closeness,TOKYO-LCG2_DATADISK_distance,transferring_availability,dataset_size_TB,available_TB,rse_weight
0,09-28-2021,AUSTRALIA-ATLAS_DATADISK,Australia-ATLAS,CA,2.0,0.9655,2.44,19.5,720.19,8.0,3.0,1981.0,1.29,0.0,-0.268
1,09-28-2021,BNL-OSG2_DATADISK,BNL-ATLAS,US,1.0,0.9796,4.45,948.48,744.79,9.0,2.0,6309.0,1.29,0.0,2.084
2,09-28-2021,EELA-UTFSM_DATADISK,EELA-UTFSM,ES,2.0,0.9495,9.29,27.59,320.14,7.0,4.0,1989.0,1.29,0.0,-0.766
3,09-28-2021,GRIF-IRFU_DATADISK,GRIF,FR,2.0,0.9708,19.73,50.1,306.93,7.0,4.0,1777.0,1.29,0.0,-0.317
4,09-28-2021,GRIF-LAL_DATADISK,GRIF,FR,2.0,0.8281,15.58,48.77,860.02,7.0,4.0,7870.0,1.29,0.0,-0.165
5,09-28-2021,IN2P3-CPPM_DATADISK,IN2P3-CPPM,FR,2.0,0.9762,2.87,29.96,176.99,7.0,4.0,1831.0,1.29,0.0,-0.878
6,09-28-2021,IN2P3-LAPP_DATADISK,IN2P3-LAPP,FR,2.0,0.9612,14.54,42.03,257.58,7.0,4.0,1631.0,1.29,0.0,-0.59
7,09-28-2021,INFN-MILANO-ATLASC_DATADISK,INFN-MILANO-ATLASC,IT,2.0,0.9053,2.74,288.57,703.67,7.0,4.0,1877.0,1.29,0.0,-0.858
8,09-28-2021,INFN-NAPOLI-ATLAS_DATADISK,INFN-NAPOLI-ATLAS,IT,2.0,0.8976,3.05,18.73,156.04,7.0,4.0,1968.0,1.29,0.0,-1.349
9,09-28-2021,JINR-LCG2_DATADISK,JINR-LCG2,RU,2.0,0.9767,2.61,25.84,744.58,7.0,4.0,1805.0,1.29,0.0,-0.708
10,09-28-2021,MPPMU_DATADISK,MPPMU,DE,2.0,0.8304,2.11,47.39,241.0,7.0,4.0,1924.0,1.29,0.0,-1.738
11,09-28-2021,OU_OSCER_ATLAS_DATADISK,OU_OSCER_ATLAS,US,2.0,0.9613,2.6,122.03,185.52,7.0,4.0,2000.0,1.29,0.0,-0.849
12,09-28-2021,RAL-LCG2-ECHO_DATADISK,RAL-LCG2,UK,1.0,0.9514,2.14,73.2,3172.82,8.0,3.0,2721.0,1.29,0.83,1.253
13,09-28-2021,RO-07-NIPNE_DATADISK,RO-07-NIPNE,FR,2.0,0.9815,5.42,19.65,1465.66,8.0,3.0,1683.0,1.29,1.29,1.119
14,09-28-2021,RO-07-NIPNE_DATADISK,RO-16-UAIC,FR,2.0,0.9624,2.95,19.65,1465.66,8.0,3.0,4930.0,1.29,1.29,1.445
15,09-28-2021,SWT2_CPB_DATADISK,SWT2_CPB,US,2.0,0.9776,2.18,263.15,1455.69,8.0,3.0,2512.0,1.29,0.0,0.382
16,09-28-2021,SWT2_CPB_DATADISK,UTA_SWT2,US,2.0,0.9789,11.62,263.15,1455.69,8.0,3.0,1917.0,1.29,0.0,0.597
17,09-28-2021,TECHNION-HEP_DATADISK,TECHNION-HEP,NL,2.0,0.9877,5.18,622.67,509.15,7.0,4.0,1824.0,1.29,0.0,0.009
18,09-28-2021,UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-NORTHGRID-LANCS-HEP,UK,2.0,0.9922,10.46,855.85,304.55,8.0,3.0,5535.0,1.29,0.0,1.485
19,09-28-2021,UKI-NORTHGRID-LIV-HEP_DATADISK,UKI-NORTHGRID-LIV-HEP,UK,2.0,0.9912,33.39,22.15,430.27,7.0,4.0,2735.0,1.29,0.0,0.406
20,09-28-2021,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,UKI-SCOTGRID-GLASGOW,UK,2.0,0.9646,3.32,21.39,1243.28,8.0,3.0,4152.0,1.29,0.0,0.274
21,09-28-2021,UNI-FREIBURG_DATADISK,UNI-FREIBURG,DE,2.0,0.9239,8.03,28.07,96.87,8.0,3.0,1794.0,1.29,0.0,-0.567
